"dict_id","dict_name","dict_type","status","create_by","create_time","update_by","update_time","remark"
1,用户性别,sys_user_sex,"0",admin,"2022-10-06 14:18:59","",,用户性别列表
2,菜单状态,sys_show_hide,"0",admin,"2022-10-06 14:18:59","",,菜单状态列表
3,系统开关,sys_normal_disable,"0",admin,"2022-10-06 14:18:59","",,系统开关列表
4,任务状态,sys_job_status,"0",admin,"2022-10-06 14:18:59","",,任务状态列表
5,任务分组,sys_job_group,"0",admin,"2022-10-06 14:18:59","",,任务分组列表
6,系统是否,sys_yes_no,"0",admin,"2022-10-06 14:18:59","",,系统是否列表
7,通知类型,sys_notice_type,"0",admin,"2022-10-06 14:18:59","",,通知类型列表
8,通知状态,sys_notice_status,"0",admin,"2022-10-06 14:18:59","",,通知状态列表
9,操作类型,sys_oper_type,"0",admin,"2022-10-06 14:18:59","",,操作类型列表
10,系统状态,sys_common_status,"0",admin,"2022-10-06 14:18:59","",,登录状态列表
100,工作中心,mes_work_center,"0",test1,"2022-10-06 15:41:03","",,
101,制程类型,mes_process_operate_type,"0",test1,"2022-10-06 15:41:28","",,
102,线别类型,mes_line_type,"0",test1,"2022-10-06 15:45:01","",,
103,MES 状态,mes_enabled,"0",test1,"2022-10-06 15:45:49","",,
104,OA状态,oa_status,"0",test1,"2022-10-06 15:46:40","",,
