"user_id","role_id"
1,1
105,2
105,102
114,107
115,2
115,102
116,2
116,102
117,2
118,2
118,102
119,105
119,106
120,105
120,106
121,102
121,105
123,105
123,107
124,105
124,107
126,105
127,2
127,102
128,2
129,107
130,2
130,102
130,105
131,2
132,2
133,2
134,102
135,102
136,102
137,102
138,102
139,102
140,102
141,102
142,102
143,102
144,102
145,102
146,102
147,102
147,105
148,2
148,102
148,105
148,106
148,107
149,105
150,102
151,2
151,105
152,102
154,107
157,2
157,102
159,102
159,105
160,2
160,102
163,2
163,102
163,104
163,105
163,106
165,2
165,102
165,105
165,106
166,102
166,105
166,106
167,2
167,102
167,105
168,102
168,105
168,106
169,104
170,2
170,102
170,104
170,105
172,104
172,105
173,104
173,105
174,104
174,105
175,104
175,105
176,104
176,105
178,104
178,105
179,104
179,105
180,104
180,105
181,102
182,102
183,102
184,102
185,102
186,104
186,105
186,106
187,105
187,106
189,104
189,105
190,104
190,105
191,104
191,105
192,104
192,105
193,104
193,105
194,104
194,105
195,102
195,105
198,102
198,105
199,102
199,105
200,2
200,102
200,105
200,106
201,102
201,105
